*YYYYMMDD,HHMMSS,JJJJJ.JJJJ,X,Y,Z,Sx,Sy,Sz,Rxy,Rxz,Ryz,NLat,Elong,Height,dN,dE,dU,Sn,Se,Su,Rne,Rnu,Reu,Soln
20010505,120000,52034.5,-2485778.32,-3284087.075,4853826.821,0.00327,0.00413,0.00484,0.838,-0.795,-0.838,49.87305321,232.8773353,164.69681,-0.03508,-0.04362,-0.0239,0.00201,0.00146,0.00671,0.023,-0.334,0.004,repro
20010506,120000,52035.5,-2485778.316,-3284087.07,4853826.815,0.00313,0.00399,0.00463,0.844,-0.8,-0.843,49.87305323,232.8773353,164.68779,-0.03368,-0.04346,-0.03291,0.00192,0.00137,0.00645,0.013,-0.351,0.02,repro
20010507,120000,52036.5,-2485778.315,-3284087.07,4853826.816,0.00348,0.00442,0.00523,0.851,-0.804,-0.847,49.87305323,232.8773353,164.68875,-0.03304,-0.04275,-0.03195,0.00211,0.00149,0.00724,0.028,-0.328,0.011,repro
20010508,120000,52037.5,-2485778.316,-3284087.072,4853826.817,0.00313,0.00397,0.00466,0.841,-0.8,-0.839,49.87305323,232.8773353,164.69134,-0.03361,-0.0419,-0.02937,0.00192,0.00138,0.00646,0.009,-0.333,0.006,repro
20010509,120000,52038.5,-2485778.317,-3284087.073,4853826.819,0.00328,0.00423,0.00489,0.843,-0.8,-0.843,49.87305323,232.8773353,164.69344,-0.03293,-0.04262,-0.02726,0.00202,0.00145,0.00681,-0.002,-0.353,0.039,repro
20010510,120000,52039.5,-2485778.313,-3284087.07,4853826.815,0.00314,0.00398,0.00462,0.843,-0.803,-0.843,49.87305324,232.8773353,164.68685,-0.03248,-0.04129,-0.03386,0.00191,0.00138,0.00644,0.008,-0.356,0.009,repro
20010511,120000,52040.5,-2485778.315,-3284087.07,4853826.814,0.00307,0.00387,0.00454,0.844,-0.795,-0.838,49.87305322,232.8773353,164.68728,-0.03409,-0.04233,-0.03342,0.0019,0.00134,0.0063,0.03,-0.333,-0.002,repro
20010512,120000,52041.5,-2485778.316,-3284087.071,4853826.815,0.00332,0.00424,0.00498,0.844,-0.8,-0.841,49.87305321,232.8773353,164.6889,-0.03496,-0.04285,-0.03181,0.00204,0.00146,0.00689,0.008,-0.33,0.02,repro
20010513,120000,52042.5,-2485778.319,-3284087.075,4853826.821,0.00307,0.00391,0.00454,0.842,-0.802,-0.843,49.87305322,232.8773353,164.69652,-0.03422,-0.04317,-0.02419,0.00188,0.00135,0.00633,0.007,-0.351,0.016,repro
20010514,120000,52043.5,-2485778.317,-3284087.072,4853826.819,0.00326,0.00421,0.00484,0.846,-0.804,-0.844,49.87305323,232.8773353,164.69311,-0.03268,-0.04275,-0.02759,0.002,0.00143,0.00676,-0.013,-0.363,0.042,repro
